metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
vus,1700180396,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180396,1.000000,,,,,,,,,,,,,,,,
vus,1700180397,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180397,1.000000,,,,,,,,,,,,,,,,
vus,1700180398,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180398,1.000000,,,,,,,,,,,,,,,,
vus,1700180399,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180399,1.000000,,,,,,,,,,,,,,,,
vus,1700180400,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180400,1.000000,,,,,,,,,,,,,,,,
vus,1700180401,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180401,1.000000,,,,,,,,,,,,,,,,
vus,1700180402,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180402,1.000000,,,,,,,,,,,,,,,,
vus,1700180403,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180403,1.000000,,,,,,,,,,,,,,,,
vus,1700180404,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180404,1.000000,,,,,,,,,,,,,,,,
vus,1700180405,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180405,1.000000,,,,,,,,,,,,,,,,
vus,1700180406,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180406,1.000000,,,,,,,,,,,,,,,,
vus,1700180407,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180407,1.000000,,,,,,,,,,,,,,,,
vus,1700180408,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180408,1.000000,,,,,,,,,,,,,,,,
vus,1700180409,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180409,1.000000,,,,,,,,,,,,,,,,
vus,1700180410,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180410,1.000000,,,,,,,,,,,,,,,,
vus,1700180411,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180411,1.000000,,,,,,,,,,,,,,,,
vus,1700180412,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180412,1.000000,,,,,,,,,,,,,,,,
vus,1700180413,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180413,1.000000,,,,,,,,,,,,,,,,
vus,1700180414,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180414,1.000000,,,,,,,,,,,,,,,,
vus,1700180415,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180415,1.000000,,,,,,,,,,,,,,,,
vus,1700180416,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180416,1.000000,,,,,,,,,,,,,,,,
vus,1700180417,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180417,1.000000,,,,,,,,,,,,,,,,
vus,1700180418,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180418,1.000000,,,,,,,,,,,,,,,,
vus,1700180419,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180419,1.000000,,,,,,,,,,,,,,,,
vus,1700180420,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180420,1.000000,,,,,,,,,,,,,,,,
vus,1700180421,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180421,1.000000,,,,,,,,,,,,,,,,
